Ohio_STR;TEACHERS;GLOBAL LIQUIDITY RESERVE;;;INTERNATIONAL FUNDS;;GLOBAL CUSTODIAN LIQUIDITY RESERVE;I-GLR;0
Ohio_STR;TEACHERS;CST BRANDS INC.;;3,914.00;COMMON STOCK;100.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CSX CORP.;;1,658,205.00;COMMON STOCK;63,900.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CVS HEALTH CORP;;9,399,901.00;COMMON STOCK;96,143.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;D.R. HORTON INC.;;986,524.00;COMMON STOCK;30,800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;DANAHER CORP;;1,272,456.00;COMMON STOCK;13,700.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;DARDEN RESTAURANTS INC;;1,444,628.00;COMMON STOCK;22,700.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;DAVITA INC;;1,066,563.00;COMMON STOCK;15,300.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;DELTA AIR LINES INC;;1,561,252.00;COMMON STOCK;30,800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;DENTSPLY SIRONA INC;;304,250.00;COMMON STOCK;5,000.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;DEXCOM INC;;1,490,580.00;COMMON STOCK;18,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;DIAMONDBACK ENERGY INC;;755,970.00;COMMON STOCK;11,300.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;DISCOVER FINANCIAL;;4,493,356.00;COMMON STOCK;83,800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;DISH NETWORK CORP;;182,976.00;COMMON STOCK;3,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;DISNEY (WALT) CO.;;6,050,717.00;COMMON STOCK;57,582.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;DOLLAR TREE INC;;1,459,458.00;COMMON STOCK;18,900.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;DOMINION ENERGY INC;;1,616,596.00;COMMON STOCK;23,900.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;DOMINO'S PIZZA INC;;1,713,250.00;COMMON STOCK;15,400.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;DONNELLEY (R.R.) & SONS CO.;;632,960.00;COMMON STOCK;43,000.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;DOWDUPONT INC.;;1,503,216.00;COMMON STOCK;29,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;DST SYSTEMS INC;;1,722,306.00;COMMON STOCK;15,100.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;DTE ENERGY COMPANY;;1,932,579.00;COMMON STOCK;24,100.00;INTECH (Q);5IN;0
